Player,Batting Handedness,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,Position,Captain,Wicketkeeper
RG Sharma (IND),Right,9,9,1,648,140,81,659,98.33,5,1,-,67,14,Opener,No,No
DA Warner (AUS),Left,10,10,1,647,166,71.88,724,89.36,3,3,-,66,8,Opener,No,No
Shakib Al Hasan (BAN),Left,8,8,1,606,124*,86.57,631,96.03,2,5,-,60,2,All-rounder,No,No
KS Williamson (NZ),Right,10,9,2,578,148,82.57,771,74.96,2,2,-,50,3,Top-Order,Yes,No
JE Root (ENG),Right,11,11,2,556,107,61.77,621,89.53,2,3,-,48,2,Top-Order,No,No
JM Bairstow (ENG),Right,11,11,0,532,111,48.36,573,92.84,2,2,2,67,11,Opener,No,Yes
AJ Finch (AUS),Right,10,10,0,507,153,50.7,497,102.01,2,3,1,47,18,Opener,Yes,No
Babar Azam (PAK),Right,8,8,1,474,101*,67.71,540,87.77,1,3,-,50,2,Top-Order,No,No
BA Stokes (ENG),Left,11,10,3,465,89,66.42,499,93.18,-,5,-,38,11,All-rounder,No,No
JJ Roy (ENG),Right,8,7,0,443,153,63.28,384,115.36,1,4,-,51,12,Opener,No,No
V Kohli (IND),Right,9,9,1,443,82,55.37,471,94.05,-,5,-,38,2,Top-Order,Yes,No
F du Plessis (SA),Right,9,8,2,387,100,64.5,432,89.58,1,3,-,36,4,Top-Order,Yes,No
SPD Smith (AUS),Right,10,10,0,379,85,37.9,441,85.94,-,4,-,33,2,Top-Order,No,No
AT Carey (AUS),Left,10,9,3,375,85,62.5,360,104.16,-,3,-,46,2,Middle-Order,No,Yes
EJG Morgan (ENG),Left,11,10,1,371,148,41.22,334,111.07,1,1,-,26,22,Middle-Order,Yes,No
Mushfiqur Rahim (BAN),Right,8,8,1,367,102*,52.42,396,92.67,1,2,-,30,2,Top-Order,No,Yes
N Pooran (WI),Left,9,8,1,367,118,52.42,366,100.27,1,2,-,33,10,Middle-Order,No,Yes
KL Rahul (IND),Right,9,9,1,361,111,45.12,466,77.46,1,2,1,31,5,Opener,No,Yes
LRPL Taylor (NZ),Right,10,9,0,350,82,38.88,465,75.26,-,3,-,29,2,Top-Order,No,No
UT Khawaja (AUS),Left,9,9,0,316,89,35.11,358,88.26,-,2,-,30,1,Opener,No,No
JC Buttler (ENG),Right,11,9,0,312,103,34.66,254,122.83,1,2,-,22,8,Middle-Order,No,Yes
HE van der Dussen (SA),Right,9,6,1,311,95,62.2,344,90.4,-,3,-,14,10,Middle-Order,No,No
Imam-ul-Haq (PAK),Left,8,8,0,305,100,38.12,400,76.25,1,1,-,31,1,Opener,No,No
Q de Kock (SA),Left,9,9,1,305,68,38.12,351,86.89,-,3,-,34,4,Opener,No,Yes
SD Hope (WI),Right,9,8,0,274,96,34.25,389,70.43,-,3,-,21,3,Top-Order,No,Yes
MDKJ Perera (SL),Left,7,7,0,273,78,39,246,110.97,-,3,-,32,1,Opener,No,Yes
MS Dhoni (IND),Right,9,8,2,273,56*,45.5,311,87.78,-,2,-,20,5,Middle-Order,No,Yes
SO Hetmyer (WI),Left,9,8,1,257,54,36.71,253,101.58,-,2,-,25,6,Middle-Order,No,No
Rahmat Shah (AFG),Right,9,9,0,254,62,28.22,390,65.12,-,1,1,31,1,Opener,No,No
Mohammad Hafeez (PAK),Right,8,8,0,253,84,31.62,285,88.77,-,1,-,22,5,All-rounder,No,No
AD Mathews (SL),Right,7,7,1,244,113,40.66,314,77.7,1,1,2,20,4,Middle-Order,No,No
CH Gayle (WI),Left,9,8,0,242,87,30.25,274,88.32,-,2,1,26,12,Opener,No,No
Tamim Iqbal (BAN),Left,8,8,0,235,62,29.37,328,71.64,-,1,-,25,0,Opener,No,No
JDS Neesham (NZ),Left,10,8,1,232,97*,33.14,294,78.91,-,1,-,16,5,All-rounder,No,No
Najibullah Zadran (AFG),Left,8,8,0,230,51,28.75,259,88.8,-,1,-,25,4,Middle-Order,No,No
HH Pandya (IND),Right,9,9,2,226,48,32.28,201,112.43,-,-,1,21,4,All-rounder,No,No
FDM Karunaratne (SL),Left,7,7,1,222,97,37,311,71.38,-,2,1,22,0,Opener,Yes,No
Mahmudullah (BAN),Right,7,6,1,219,69,43.8,244,89.75,-,1,-,14,5,Middle-Order,No,No
WIA Fernando (SL),Right,4,4,0,203,104,50.75,192,105.72,1,-,-,23,4,Top-Order,No,No
HM Amla (SA),Right,7,7,2,203,80*,40.6,313,64.85,-,2,-,16,0,Opener,No,No
Haris Sohail (PAK),Left,5,5,0,198,89,39.6,209,94.73,-,2,-,18,5,Middle-Order,No,No
Hashmatullah Shahidi (AFG),Left,8,8,0,197,76,24.62,349,56.44,-,2,1,20,2,Top-Order,No,No
